Date,Open,High,Low,Close,%Change
15-11-2021,18140.94922,18210.15039,18071.30078,18109.44922,-0.17%
16-11-2021,18127.05078,18132.65039,17958.80078,17999.19922,-0.71%
17-11-2021,17939.34961,18022.65039,17879.25,17898.65039,-0.23%
18-11-2021,17890.55078,17945.59961,17688.5,17764.80078,-0.71%
22-11-2021,17796.25,17805.25,17280.44922,17416.55078,-2.18%
23-11-2021,17281.75,17553.69922,17216.09961,17503.34961,1.27%
24-11-2021,17550.05078,17600.59961,17354,17415.05078,-0.78%
25-11-2021,17417.30078,17564.34961,17351.69922,17536.25,0.68%
26-11-2021,17338.75,17355.40039,16985.69922,17026.44922,-1.83%
29-11-2021,17055.80078,17160.69922,16782.40039,17053.94922,-0.01%
30-11-2021,17051.15039,17324.65039,16931.40039,16983.19922,-0.40%
01-12-2021,17104.40039,17213.05078,17064.25,17166.90039,0.36%
02-12-2021,17183.19922,17420.34961,17149.30078,17401.65039,1.26%
03-12-2021,17424.90039,17489.80078,17180.80078,17196.69922,-1.33%
06-12-2021,17209.05078,17216.75,16891.69922,16912.25,-1.75%
07-12-2021,17044.09961,17251.65039,16987.75,17176.69922,0.77%
